Country,Country Name,Country - RegionId,Country - Name_fr,Country - ParentKey,Country - SrcCode,Country - Source Note,Country - Source Note_fr,Goal,Indicator,Indicator Name,Indicator - Defenition and Data Source,Indicator - Defenition and Data Source_fr,Indicator - Goal Key,Social Group,Social Group Name,Scale,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2011
25,Kenya,KE,Kenya,85,KEN,"Regional member Country  Low income  Moderately indebted    National currency: Kenya shilling  National accounts base year: 2001  SNA price valuation: Vabp 1993SNA  Latest population census: 1999  Latest demographic, household, or health survey: DHS, 2003",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,70,,74,,,"68,1",,"66,8",,,,67,,"58,4",,"59,3",,,
6,Burundi,BI,Burundi,85,BDI,"Regional member Country  Low income  Severely indebted    National currency: Burundi franc  National accounts base year: 1980  SNA price valuation: VAfc  Latest population census: 1990  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265205,Poverty gap ratio in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,,,,,,,"36,4",,,
31,Mali,ML,Mali,88,MLI,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1987  SNA price valuation: VAfc  Latest population census: 1998  Latest demographic, household, or health survey: DHS, 2001",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,,,,,,,,,,,,,,,,"51,4",,,
19,Ethiopia,ET,Ethiopie,85,ETH,"Regional member Country  Low income  Severely indebted    National currency: Ethiopian birr  National accounts base year: 2000  SNA price valuation: Vbp 1993 SNA data on fiscal yr basis  Latest population census: 1994  Latest demographic, household, or he",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,64,"64,7","65,6","66,3",66,67,"67,9","68,8","69,4",70,"70,6",71,"71,4","71,9","73,3","72,5","73,5","73,5",
32,Mauritania,MR,Mauritanie,86,MRT,"Regional member Country  Low income  Moderately indebted    National currency: Mauritanian ouguiya  National accounts base year: 1985  SNA price valuation: VAfc  Latest population census: 2000  Latest demographic, household, or health survey: Special, 200",,Goal 1: Eradicate extreme poverty and hunger,20265605,Employment-to-population ratio  (%),The employment-to-population ratio is the proportion of a country''s working-age population that is employed.,,1,20137105,Total,units,,,,,,,,,,,,,,,,33,,,,27,
53,Zimbabwe,ZW,Zimbabwe,87,ZWE,"Regional member Country  Low income  Moderately indebted    National currency: Zimbabwe dollar  National accounts base year: 1990  SNA price valuation: VAfc  Latest population census: 2002  Latest demographic, household, or health survey: DHS, 1999",,Goal 1: Eradicate extreme poverty and hunger,20265905,Proportion of own-account and contributing family workers in Total employment (%),Vulnerable employment is defined as the sum of the employment status groups of own-account workers and contributing family workers. For further information see: http://www.ilo.org/trends,,1,20137105,Total,units,,,,,,,,,,,"60,27",,,,,"70,92",,,,,
12,"Congo, Dem. Rep.",CD,Congo (RDC),84,ZAR,"Regional member Country  Low income  Severely indebted    National currency: Congo franc  National accounts base year: 2000  SNA price valuation: VAfc  Latest population census: 1984  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265305,Poverty gap ratio national poverty line in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,,,,"15,3","14,7",14,"25,31","12,8",,
8,Cape Verde,CV,Cap Vert,88,CPV,"Regional member Country  Lower middle income  Less indebted    National currency: Cape Verde escudo  National accounts base year: 1980  SNA price valuation: Vamkt, Latest population census: 2000",,Goal 1: Eradicate extreme poverty and hunger,20265905,Proportion of own-account and contributing family workers in Total employment (%),Vulnerable employment is defined as the sum of the employment status groups of own-account workers and contributing family workers. For further information see: http://www.ilo.org/trends,,1,20137105,Total,units,,,,,,,,,,,,"39,6",,,,,,,"29,5",,
44,Somalia,SO,Somalie,85,SOM,"Regional member Country  Low income  Severely indebted    National currency: Somali shilling  National accounts base year: 1985  SNA price valuation: VAfc  Latest population census: 1987  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265605,Employment-to-population ratio  (%),The employment-to-population ratio is the proportion of a country''s working-age population that is employed.,,1,20137105,Total,units,,,,,,,,,,,,"65,3",,,,,,"65,7","65,8",66,
21,Gambia,GM,Gambie,88,GMB,"Regional member Country  Low income  Moderately indebted    National currency: Gambian dalasi  National accounts base year: 1977  SNA price valuation: VAfc  Latest population census: 2003  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20266005,Prevalence of underweight children under-five years of age  (%),Prevalence of (moderately and severely) underweight children is the percentage of children aged 0-59 months whose weights for age are less than two standard deviations below the median weight for age of the international reference population.,,1,20137105,Total,units,,,,,,,,,,,,,"17,1",,,,,,"20,3",,
52,Zambia,ZM,Zambie,87,ZMB,"Regional member Country  Low income  Severely indebted    National currency: Zambian kwacha  National accounts base year: 1994  SNA price valuation: VAbp SNA93 Latest population census: 2000  Latest demographic, household, or health survey: EdData, 2002",,Goal 1: Eradicate extreme poverty and hunger,20265105,Proportion of pop below  poverty line (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,"62,81",,"65,27",,,"62,07",,"55,4",,,,67,,"64,29",,"59,3",,,
35,Mozambique,MZ,Mozambique,87,MOZ,"Regional member Country  Low income  Less indebted    National currency: Mozambican metical  National accounts base year: 1996  SNA price valuation: VAfc  Latest population census: 1997  Latest demographic, household, or health survey: Interim, 2003",,Goal 1: Eradicate extreme poverty and hunger,20266005,Prevalence of underweight children under-five years of age  (%),Prevalence of (moderately and severely) underweight children is the percentage of children aged 0-59 months whose weights for age are less than two standard deviations below the median weight for age of the international reference population.,,1,20137105,Total,units,,,,,,,,,,,,26,,,,,,,,"18,3",
41,Senegal,SN,Sénégal,88,SEN,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1999  SNA price valuation: VAfc  Latest population census: 2002  Latest demographic, household, or health survey: DHS, 2004",,Goal 1: Eradicate extreme poverty and hunger,20265405,Share of poorest quintile in national consumption (%),The poorest quintiles' percentage share of national income or consumption is the share that accrues to the bottom fifth (quintile) of the population.,,1,20137105,Total,units,,,,,,,,,,,,,"6,4","8,1",,,,"8,2",,,
29,Madagascar,MG,Madagascar,87,MDG,"Regional member Country  Low income  Less indebted    National currency: Malagasy ariary  National accounts base year: 1994  SNA price valuation: VAfc  Latest population census: 1993  Latest demographic, household, or health survey: MICS, 2000; DHS, 2003",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,"65,4","65,2","65,5","64,5","65,5","65,8","66,3","66,7","66,8","66,9","64,8","64,4","62,9","67,6",72,"71,4",70,"70,7",
36,Namibia,NA,Namibie,87,NAM,"Regional member Country  Lower middle income  Debt not classified    National currency: Namibia dollar  National accounts base year: 1995  SNA price valuation: VAbp SNA93 Latest population census: 2001  Latest demographic, household, or health survey: DHS",,Goal 1: Eradicate extreme poverty and hunger,20265305,Poverty gap ratio national poverty line in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,"20,9",,,,,,,10,,,"11,9",,,"8,7",,,,
22,Ghana,GH,Ghana,88,GHA,"Regional member Country  Low income  Moderately indebted    National currency: Ghanian cedi  National accounts base year: 1993  SNA price valuation: VAmkt  Latest population census: 2000  Latest demographic, household, or health survey: SPA, 2002; DHS, 20",,Goal 1: Eradicate extreme poverty and hunger,20265905,Proportion of own-account and contributing family workers in Total employment (%),Vulnerable employment is defined as the sum of the employment status groups of own-account workers and contributing family workers. For further information see: http://www.ilo.org/trends,,1,20137105,Total,units,,,,,,,,,,,,,,,,,,,,55,
52,Zambia,ZM,Zambie,87,ZMB,"Regional member Country  Low income  Severely indebted    National currency: Zambian kwacha  National accounts base year: 1994  SNA price valuation: VAbp SNA93 Latest population census: 2000  Latest demographic, household, or health survey: EdData, 2002",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,"40,4","40,2","39,6","41,3","41,8","43,2","43,9","46,1","46,1","45,7","45,7","45,8","45,9","45,7","45,6","45,4","46,2","46,4",
8,Cape Verde,CV,Cap Vert,88,CPV,"Regional member Country  Lower middle income  Less indebted    National currency: Cape Verde escudo  National accounts base year: 1980  SNA price valuation: Vamkt, Latest population census: 2000",,Goal 1: Eradicate extreme poverty and hunger,20265605,Employment-to-population ratio  (%),The employment-to-population ratio is the proportion of a country''s working-age population that is employed.,,1,20137105,Total,units,,,,,,,,,,,,"55,7",,,,,"55,4","55,5","55,9",,
43,Sierra Leone,SL,Sierra Leone,88,SLE,"Regional member Country  Low income  Severely indebted    National currency: Sierra Leonean leone  National accounts base year: 1990  SNA price valuation: VAfc  Latest population census: 2004  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,"38,4","39,1","39,5","39,7","40,9","40,8","42,2","42,5","43,4","43,6","43,1","42,2",42,"41,9","41,8","41,7",42,42,
10,Chad,TD,Tchad,84,TCD,"Regional member Country  Low income  Severely indebted    National currency: CFA franc  National accounts base year: 1995  SNA price valuation: VAbp  Latest population census: 1993  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265105,Proportion of pop below  poverty line (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,,,,,"5,4","5,4",,,,,,,,,"6,4","6,4",,,
26,Lesotho,LS,Lesotho,87,LSO,"Regional member Country  Low income  Less indebted    National currency: Lesotho loti  National accounts base year: 1995  SNA price valuation: VAfc  Latest population census:  2006 Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,"39,9","38,6","37,3","36,9","36,4","35,5",35,"39,1","42,9","45,3","43,4","41,6","43,1","43,2","39,5","44,9",42,"40,4",
21,Gambia,GM,Gambie,88,GMB,"Regional member Country  Low income  Moderately indebted    National currency: Gambian dalasi  National accounts base year: 1977  SNA price valuation: VAfc  Latest population census: 2003  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,31,,,,,,,,,,,,,,,,58,,,
12,"Congo, Dem. Rep.",CD,Congo (RDC),84,ZAR,"Regional member Country  Low income  Severely indebted    National currency: Congo franc  National accounts base year: 2000  SNA price valuation: VAfc  Latest population census: 1984  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20266005,Prevalence of underweight children under-five years of age  (%),Prevalence of (moderately and severely) underweight children is the percentage of children aged 0-59 months whose weights for age are less than two standard deviations below the median weight for age of the international reference population.,,1,20137105,Total,units,,,15,15,15,15,16,16,16,,,,,,"14,4","13,46","12,52","11,58","10,64",,
43,Sierra Leone,SL,Sierra Leone,88,SLE,"Regional member Country  Low income  Severely indebted    National currency: Sierra Leonean leone  National accounts base year: 1990  SNA price valuation: VAfc  Latest population census: 2004  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265905,Proportion of own-account and contributing family workers in Total employment (%),Vulnerable employment is defined as the sum of the employment status groups of own-account workers and contributing family workers. For further information see: http://www.ilo.org/trends,,1,20137105,Total,units,,,"87,71","42,3",,,,,,,,,,"84,9",,,"83,1",,,,
51,Uganda,UG,Ouganda,85,UGA,"Regional member Country  Low income  Less indebted    National currency: Uganda shilling  National accounts base year: 1998  SNA price valuation: Vabp data on fiscal year basis  Latest population census: 2002  Latest demographic, household, or health surv",,Goal 1: Eradicate extreme poverty and hunger,20265105,Proportion of pop below  poverty line (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,,"70,01",,,,,,,"60,49",,,"57,37","37,7",,"51,53",,,,
1,Algeria,DZ,Algérie,86,DZA,"Regional member Country Lower middle income  Less indebted    National currency: Algerian dinar  National accounts base year: 1995  SNA price valuation: VAmkt  Latest population census: 1998  Latest demographic, household, or health survey: MICS,","Regional member Country Lower middle income  Less indebted    National currency: Algerian dinar  National accounts base year: 1995  SNA price valuation: VAmkt  Latest population census: 1998  Latest demographic, household, or health survey: MICS,",Goal 1: Eradicate extreme poverty and hunger,20266005,Prevalence of underweight children under-five years of age  (%),Prevalence of (moderately and severely) underweight children is the percentage of children aged 0-59 months whose weights for age are less than two standard deviations below the median weight for age of the international reference population.,,1,20137105,Total,units,,,,,,,,,,,,,,"6,8",,,,6,,,
2,Angola,AO,Angola,87,AGO,"Regional member Country  Low income  Severely indebted    National currency: Angolan kwanza  National accounts base year: 1990  SNA price valuation: VAmkt  Latest population census: 1970  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,"70,6","70,1","70,9","70,4","71,2","71,1",71,"70,6","70,3","70,3","70,2",70,"69,9","69,6","69,3","68,7","68,9","68,6",
33,Mauritius,MU,Maurice,87,MUS,"Regional member Country  Upper middle income  Less indebted    National currency: Mauritian rupee  National accounts base year: 1992  SNA price valuation: Vabp SNA93  Latest population census: 2000  Latest demographic, household, or health survey: CDC, 19",,Goal 1: Eradicate extreme poverty and hunger,20265405,Share of poorest quintile in national consumption (%),The poorest quintiles' percentage share of national income or consumption is the share that accrues to the bottom fifth (quintile) of the population.,,1,20137105,Total,units,,,,,,,,"7,7",,,,,"7,6",,,,,"7,6",,,
21,Gambia,GM,Gambie,88,GMB,"Regional member Country  Low income  Moderately indebted    National currency: Gambian dalasi  National accounts base year: 1977  SNA price valuation: VAfc  Latest population census: 2003  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,"58,9","58,9","58,8","58,7","58,6","58,5","58,2","57,8","57,5","57,2","56,8","56,7","56,4",56,"55,7","55,1","54,8","54,5",
